screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,bidirectional_text_presence_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,chromatic_color_area_ratio,card_top_color_area_ratio,largest_roi_area_ratio,largest_roi_ssim,memo,final_reasons
11-10,11-10.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_localized_transform,3,3,0,0.052899,0.856614,0.09361,0,0,0,0,0.0,0.0,,0.000142,0.086669,0.000438,0.0,0.049163,0.197564,모델 B 기준에서 카드 전체 좌우 반전,"카드 한 개의 전경 구조가 반전·교체된 것으로 판단됨: area=0.049163, ssim=0.197564"
11-35,11-35.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_localized_missing_text,2,2,0,0.024357,0.919298,0.221591,0,0,0,0,0.0,0.0,,0.002118,0.33636,0.043525,0.013145,0.023255,0.377911,좌측 이상 글씨 검출,카드 UI에서 국소 텍스트 누락이 검출됨
11-36,11-36.png,text_list,text_list_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,1,1,0,0.001971,0.995668,0.140599,0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001971,0.140599,모델 B 기준에서 메뉴 존재 여부 변경,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=1
11-8,11-8.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.018086,0.963571,0.646764,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.016338,0.722428,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-27,12-27.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.013486,0.973313,0.198343,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.008309,0.297187,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-29,12-29.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.058875,0.908322,0.149019,0,1,0,0,0.0,0.0,,0.0,0.0,0.00446,0.0,0.020911,0.624402,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-38,12-38.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.058875,0.9089,0.149019,0,1,0,0,0.0,0.0,,0.0,0.0,0.003402,0.0,0.020911,0.624402,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-94,12-94.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,2,2,0,0.005692,0.988342,0.086577,0,2,0,0,0.0,-94.0,,0.0,0.0,0.002402,0.0,0.003091,0.086577,모델 B 기준에서 숫자와 단위 존재 여부 변경,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=2
13-12,13-12.png,status_time,status_time_profile,FAIL,FAIL,FAIL,status_progress_bar_difference,15,15,0,0.059792,0.835497,0.008295,0,2,0,0,0.0,0.0,0.028125,0.0,0.0,0.0,0.0,0.020361,0.240654,게이지 검사 옵션 ON 기준 채워진 정도 다름,진행 상태 바의 채워진 길이 차이가 허용 기준을 초과함: delta=0.028125
13-2,13-2.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,13,13,0,0.081665,0.821406,0.008249,0,2,0,0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.036307,0.516776,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-10,14-10.png,status_time,status_time_profile,FAIL,FAIL,FAIL,confirmed_missing_text,6,5,1,0.051815,0.926511,0.063926,1,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.029578,0.368322,글씨 아예 없음,중요 텍스트 누락 또는 교체 증거 1개
14-11,14-11.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.009552,0.975603,0.354535,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.002144,0.369904,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-21,14-21.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,7,7,0,0.063984,0.896932,0.19305,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.028547,0.414073,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-23,14-23.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,17,17,0,0.063747,0.890844,0.058106,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.019067,0.500407,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-24,14-24.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,19,19,0,0.069139,0.876255,0.160575,0,3,0,0,0.0,0.0,,0.182511,0.909886,0.140286,0.030923,0.007905,0.420052,카드 UI 그라데이션 색 빠짐,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.182511, histogram_distance=0.909886"
14-25,14-25.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,21,21,0,0.054377,0.885535,0.092329,0,1,0,0,0.0,0.0,,0.033677,0.99613,0.03509,0.007349,0.009876,0.69917,카드 UI 그라데이션 색 빠짐,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.033677, histogram_distance=0.99613"
14-3,14-3.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.074886,0.887623,0.180352,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.029019,0.45562,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-32,14-32.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,16,16,0,0.064409,0.889606,0.058106,0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.019067,0.500407,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,14,14,0,0.178678,0.792548,0.053577,0,2,0,0,0.0,0.0,,0.069113,0.933412,0.089746,0.012382,0.11494,0.651261,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412"
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,22,22,0,0.104346,0.846983,0.092329,0,2,0,0,0.0,0.0,,0.069113,0.933412,0.065889,0.01181,0.06201,0.562633,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412"
14-8,14-8.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_large_difference,10,10,0,0.075853,0.882908,0.176237,0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.028841,0.428404,좌측 위 그림 빠짐,텍스트 목록의 넓은 영역에서 누락 또는 구조 차이가 검출됨
14-9,14-9.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.053638,0.917372,0.257618,0,0,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.028083,0.257618,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-1,15-1.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,13,13,0,0.030454,0.930722,-0.01391,0,2,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.005148,0.318956,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-12,15-12.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.043506,0.866141,0.002811,0,2,1,0,0.0,102.0,,0.0,0.0,0.0,0.0,0.013416,0.079609,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-13,15-13.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.062171,0.859654,0.074995,0,0,1,0,0.0,255.0,,0.0,0.0,0.0,0.0,0.018418,0.076117,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-14,15-14.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.063687,0.859905,0.074995,0,0,1,0,0.0,255.0,,0.0,0.0,0.0,0.0,0.018418,0.076117,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-147,15-147.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,9,9,0,0.044754,0.89786,0.067113,0,2,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.007575,0.067113,상태 표시 아이콘 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=5
15-149,15-149.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,10,10,0,0.060449,0.874577,0.18804,0,1,3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.023638,0.235546,글씨 구성 위치가 아예 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=3
15-150,15-150.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.002474,0.990388,0.529021,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.00124,0.529021,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-22,15-22.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,5,5,0,0.006071,0.985976,0.140632,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.003903,0.302876,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-27,15-27.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.008018,0.982446,0.108264,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.003903,0.302876,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-4,15-4.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_brightness_loss,14,14,0,0.044769,0.907969,-0.01391,0,1,0,0,91.4286,0.0,,0.0,0.0,0.0,0.0,0.009139,0.27919,글씨 밝기 희미함,내용은 같지만 Capture 텍스트 밝기·대비가 크게 감소함: brightness_loss=91.4286
15-49,15-49.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,9,9,0,0.00925,0.979944,0.10697,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.003903,0.302876,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-51,15-51.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,7,7,0,0.009268,0.980927,0.097597,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.003903,0.302876,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-62,15-62.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_brightness_loss,6,6,0,0.033477,0.916916,-0.224961,0,0,0,0,118.6667,0.0,,0.0,0.0,0.0,0.0,0.009577,0.281535,글씨 밝기 희미함,내용은 같지만 Capture 텍스트 밝기·대비가 크게 감소함: brightness_loss=118.6667
