file_name,category,profile,expected_result,final_status,diff_roi_count,review_roi_count,fail_roi_count,total_diff_area_ratio,is_loading_like,final_reasons,memo
11-10.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,6,6,0,0.00813,False,REVIEW ROI 6개 존재 | 차이 ROI가 많아 자동 PASS 불가,코스 카드/대시보드형 화면
11-35.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,2,2,0,0.024357,False,REVIEW ROI 2개 존재 | 전체 차이 면적이 자동 PASS 기준보다 큼,코스 카드/대시보드형 화면
11-8.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,3,3,0,0.018086,False,REVIEW ROI 3개 존재 | 전체 차이 면적이 자동 PASS 기준보다 큼,코스 카드/대시보드형 화면
12-27.png,status_time,status_time_profile,UNKNOWN,REVIEW,3,3,0,0.013486,False,REVIEW ROI 3개 존재 | 전체 차이 면적이 자동 PASS 기준보다 큼,시간/상태 정보 중심 화면
12-29.png,setting_control,setting_control_profile,UNKNOWN,REVIEW,8,8,0,0.058875,False,REVIEW ROI 8개 존재 | 차이 ROI가 많아 자동 PASS 불가,설정값/옵션 선택 화면
12-38.png,setting_control,setting_control_profile,UNKNOWN,REVIEW,8,8,0,0.058875,False,REVIEW ROI 8개 존재 | 차이 ROI가 많아 자동 PASS 불가,설정값/옵션 선택 화면
13-12.png,status_time,status_time_profile,UNKNOWN,REVIEW,15,15,0,0.059792,False,REVIEW ROI 15개 존재 | 차이 ROI가 많아 자동 PASS 불가,진행 시간/상태바 중심 화면
13-2.png,status_time,status_time_profile,UNKNOWN,REVIEW,13,13,0,0.081665,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.081665 >= 0.06,진행 상태/텍스트 중심 화면
14-10.png,status_time,status_time_profile,UNKNOWN,REVIEW,6,6,0,0.051815,False,REVIEW ROI 6개 존재 | 차이 ROI가 많아 자동 PASS 불가,진행 상태/텍스트 중심 화면
14-11.png,status_time,status_time_profile,UNKNOWN,REVIEW,10,9,0,0.009552,False,REVIEW ROI 9개 존재 | 차이 ROI가 많아 자동 PASS 불가,진행 상태/텍스트 중심 화면
14-21.png,status_time,status_time_profile,UNKNOWN,REVIEW,7,7,0,0.063984,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.063984 >= 0.06,시간/상태 + 일부 카드 UI 화면
14-23.png,status_time,status_time_profile,UNKNOWN,REVIEW,17,16,0,0.063747,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.063747 >= 0.06,시간/상태 + 숫자 정보 화면
14-24.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,19,19,0,0.069139,False,REVIEW ROI 19개 존재 | 차이 ROI가 많아 자동 PASS 불가,카드형 대시보드 화면
14-25.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,21,21,0,0.054377,False,REVIEW ROI 21개 존재 | 차이 ROI가 많아 자동 PASS 불가,카드형 대시보드 화면
14-3.png,status_time,status_time_profile,UNKNOWN,REVIEW,8,6,2,0.074886,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.074886 >= 0.06,진행 시간/상태바 중심 화면
14-32.png,status_time,status_time_profile,UNKNOWN,REVIEW,16,16,0,0.064409,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.064409 >= 0.06,시간/상태 + 카드 UI 화면
14-33.png,card_ui,card_ui_profile,UNKNOWN,FAIL,14,14,0,0.178678,False,전체 차이 면적 비율이 매우 큼: 0.178678 >= 0.14400000000000002,카드형 대시보드 화면
14-34.png,card_ui,card_ui_profile,UNKNOWN,REVIEW,22,21,1,0.104346,False,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.104346 >= 0.08,카드형 대시보드 화면
