screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons,alignment_type,issue_priority
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,14,14,0,0.178678,0.792548,0.053577,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412",MATCH,4
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,22,22,0,0.104346,0.846983,0.092329,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412",MATCH,4
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.090975,0.834099,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.090975, roi_count=6",MATCH,4
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.092925,0.831249,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.092925, roi_count=6",MATCH,4
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.091567,0.829463,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.091567, roi_count=6",MATCH,4
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.089979,0.837323,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.089979, roi_count=6",MATCH,4
18-3,18-3.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181094,0.892283,0.610803,0,1,0,0.0,0.0,,0.212448,0.843904,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212448, histogram_distance=0.843904",MATCH,4
18-4,18-4.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181294,0.89181,0.609012,0,0,0,0.0,0.0,,0.212201,0.843833,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212201, histogram_distance=0.843833",MATCH,4
18-5,18-5.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.167472,0.915255,0.649766,0,0,0,0.0,0.0,,0.226245,0.845894,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.226245, histogram_distance=0.845894",MATCH,4
13-12,13-12.png,status_time,status_time_profile,FAIL,FAIL,FAIL,status_progress_bar_difference,15,15,0,0.059792,0.835497,0.008295,0,0,0,0.0,0.0,0.028125,0.0,0.0,게이지 검사 옵션 ON 기준 채워진 정도 다름,진행 상태 바의 채워진 길이 차이가 허용 기준을 초과함: delta=0.028125,MATCH,4
15-147,15-147.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,9,9,0,0.044754,0.89786,0.067113,0,5,0,0.0,0.0,,0.0,0.0,상태 표시 아이콘 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=5,MATCH,4
15-149,15-149.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,10,10,0,0.060449,0.874577,0.18804,0,3,0,0.0,0.0,,0.0,0.0,글씨 구성 위치가 아예 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=3,MATCH,4
