screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons
11-10,11-10.png,card_ui,card_ui_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
11-35,11-35.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 이상 글씨 검출,차이 ROI가 검출되지 않음
11-36,11-36.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
11-8,11-8.png,card_ui,card_ui_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
12-27,12-27.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
12-29,12-29.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
12-38,12-38.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
12-94,12-94.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
13-12,13-12.png,status_time,status_time_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,게이지 검사 옵션 ON 기준 채워진 정도 다름,차이 ROI가 검출되지 않음
13-2,13-2.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-10,14-10.png,status_time,status_time_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 아예 없음,차이 ROI가 검출되지 않음
14-11,14-11.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-21,14-21.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-23,14-23.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-24,14-24.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음
14-25,14-25.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음
14-3,14-3.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-32,14-32.png,status_time,status_time_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,중앙 그림 구성이 아예 다름,차이 ROI가 검출되지 않음
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,중앙 그림 구성이 아예 다름,차이 ROI가 검출되지 않음
14-8,14-8.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 위 그림 빠짐,차이 ROI가 검출되지 않음
14-9,14-9.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-1,15-1.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-12,15-12.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-13,15-13.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-14,15-14.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-147,15-147.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,상태 표시 아이콘 다름,차이 ROI가 검출되지 않음
15-149,15-149.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 구성 위치가 아예 다름,차이 ROI가 검출되지 않음
15-150,15-150.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-22,15-22.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-27,15-27.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-4,15-4.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 밝기 희미함,차이 ROI가 검출되지 않음
15-49,15-49.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-51,15-51.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
15-62,15-62.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 밝기 희미함,차이 ROI가 검출되지 않음
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음
15-67,15-67.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
16-17,16-17.png,card_ui,card_ui_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
16-19,16-19.png,card_ui,card_ui_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
