screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons,alignment_type,issue_priority
11-35,11-35.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 이상 글씨 검출,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
14-24,14-24.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
14-25,14-25.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,중앙 그림 구성이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,중앙 그림 구성이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
18-3,18-3.png,popup,popup_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름",차이 ROI가 검출되지 않음,DANGEROUS_FALSE_PASS,1
