screen_id,file_name,reference_image,capture_image,category,profile,expected_result,memo
3-27,3-27.png,data/reference/3-27.png,data/capture/3-27.png,general_diff,general_diff_profile,UNKNOWN,
4-1,4-1.png,data/reference/4-1.png,data/capture/4-1.png,general_diff,general_diff_profile,UNKNOWN,
4-20,4-20.png,data/reference/4-20.png,data/capture/4-20.png,general_diff,general_diff_profile,UNKNOWN,
4-3,4-3.png,data/reference/4-3.png,data/capture/4-3.png,general_diff,general_diff_profile,UNKNOWN,
4-43,4-43.png,data/reference/4-43.png,data/capture/4-43.png,general_diff,general_diff_profile,UNKNOWN,
4-8,4-8.png,data/reference/4-8.png,data/capture/4-8.png,general_diff,general_diff_profile,UNKNOWN,
4-9,4-9.png,data/reference/4-9.png,data/capture/4-9.png,general_diff,general_diff_profile,UNKNOWN,
5-22,5-22.png,data/reference/5-22.png,data/capture/5-22.png,general_diff,general_diff_profile,UNKNOWN,
5-24,5-24.png,data/reference/5-24.png,data/capture/5-24.png,general_diff,general_diff_profile,UNKNOWN,
7-12,7-12.png,data/reference/7-12.png,data/capture/7-12.png,general_diff,general_diff_profile,UNKNOWN,
7-5,7-5.png,data/reference/7-5.png,data/capture/7-5.png,general_diff,general_diff_profile,UNKNOWN,
8-1,8-1.png,data/reference/8-1.png,data/capture/8-1.png,general_diff,general_diff_profile,UNKNOWN,
8-10,8-10.png,data/reference/8-10.png,data/capture/8-10.png,general_diff,general_diff_profile,UNKNOWN,
8-3,8-3.png,data/reference/8-3.png,data/capture/8-3.png,general_diff,general_diff_profile,UNKNOWN,
8-7,8-7.png,data/reference/8-7.png,data/capture/8-7.png,general_diff,general_diff_profile,UNKNOWN,
